t,n_err,e_err,n_std,e_std
23.9,1.6709939183518818,-2.682887672306697,2.236490788741269,2.234915549131316
24.0,1.670807968468259,-2.682271209385299,2.2360277266208373,2.234972893097564
24.1,1.6706259907077703,-2.6816528396806922,2.235563315014268,2.2350320010062044
24.2,1.6704601958677334,-2.6810340188584543,2.2350975592372446,2.235092889239967
24.3,1.6703004159680275,-2.680413848146985,2.234630464586229,2.2351555742639073
24.400000000000002,1.6701423178247616,-2.6797697849364437,2.2341620363475188,2.235220072613524
24.5,1.6699952473262103,-2.67913056641936,2.2336922799107355,2.235286400894803
24.599999999999998,1.6698357957743506,-2.6784826238612154,2.2332212008227637,2.235354575787704
24.7,1.6696751610697163,-2.67783449822908,2.2327488046019894,2.2354246140335183
24.8,1.6695136482162174,-2.677184053048405,2.232275096581127,2.235496532464824
24.9,1.6693560585434062,-2.6765285859879215,2.2318000821115254,2.23557034799594
25.0,1.6691874411833276,-2.6758737057061555,2.231323766810032,2.2356460776115137
25.1,1.6690230697406074,-2.675209856542402,2.230846156464773,2.2357237383434696
25.2,1.668859191957362,-2.6745241716926227,2.230367256881493,2.2358033473088295
25.3,1.6686988365937416,-2.6738428137651185,2.2298870737626912,2.235884921719049
25.4,1.6685294601848952,-2.673156330100104,2.2294056127447663,2.235968478865311
25.5,1.6683571053555493,-2.6724718969304115,2.228922879485595,2.2360540360932055
25.6,1.6681843220805757,-2.671786459016619,2.2284388796429644,2.236141610812171
25.7,1.668007168006506,-2.671103151582853,2.2279536190127502,2.236231220480264
25.8,1.6678517777164308,-2.670417379771366,2.22746710350439,2.2363228825919212
25.9,1.6677029605948555,-2.6697177514716683,2.226979339115727,2.236416614728347
26.0,1.6675483235507786,-2.6690193019252693,2.226490331922855,2.2365124345436276
26.1,1.667399963892301,-2.6683060651812087,2.226000087954469,2.236610359751909
26.2,1.6672487137678889,-2.6675684657249668,2.2255086132400805,2.2367104081612097
26.3,1.6670924296380396,-2.666826705459275,2.225015913850413,2.2368125976633473
26.4,1.6669348325510207,-2.6660760716044916,2.224521995904996,2.2369169462123937
26.5,1.6667636698592674,-2.6653069696600573,2.224026865582538,2.2370234718314714
26.6,1.6665902536631165,-2.6645350536278465,2.223530529018266,2.237132192607893
26.7,1.666424319263476,-2.663764263491143,2.223032992243106,2.2372431267037496
26.8,1.6662616299425326,-2.6629918029764017,2.222534261393854,2.2373562923391384
26.9,1.666102065826651,-2.662213522170638,2.222034342748024,2.237471707776988
27.0,1.665948076168627,-2.661419713627639,2.221533242527957,2.237589391356354
27.1,1.6657855165868392,-2.660617616492088,2.2210309669819592,2.237709361496927
27.2,1.6656276689400515,-2.6598107088626843,2.2205275225198666,2.2378316366519004
27.3,1.6654638403565882,-2.658984284639703,2.220022915686519,2.237956235329263
27.4,1.6653132560168538,-2.658155854222167,2.219517153105764,2.2380831760911772
27.5,1.6651754633801743,-2.657334657157242,2.2190102413325894,2.238212477592202
27.6,1.6650382849857537,-2.6565068631177433,2.2185021867876666,2.2383441585818753
27.7,1.664904506300099,-2.6556766649948553,2.217992995978559,2.2384782378633243
27.8,1.664760676648009,-2.6548379274433147,2.2174826755207895,2.2386147342993286
27.900000000000002,1.664610092909561,-2.653993541701456,2.216971232000856,2.238753666809808
28.0,1.6644630301720893,-2.6531307752118187,2.2164586721556474,2.238895054352982
28.099999999999998,1.6643084033143771,-2.6522646869430013,2.215945002805548,2.2390389159608577
28.2,1.6641578500113425,-2.6513899543389843,2.215430230620438,2.239185270749061
28.3,1.6640035380445994,-2.6505192859584628,2.2149143623252225,2.2393341378999283
28.4,1.6638551615754376,-2.6496467923911515,2.2143974048765798,2.23948553660469
28.5,1.6637181993265366,-2.648763530083458,2.21387936515257,2.239639486136679
28.6,1.6635698412561668,-2.6478563356804568,2.213360249910021,2.2397960058813164
28.7,1.6634316773901892,-2.646942834368382,2.212840066166184,2.239955115226406
28.799999999999997,1.6632937525405924,-2.6460189982723112,2.2123188210358142,2.2401168336177197
28.900000000000002,1.6631496006229547,-2.6450864789546458,2.2117965215391733,2.2402811805828025
29.0,1.6630014169565916,-2.6441526473798094,2.2112731746679555,2.2404481757015433
29.099999999999998,1.662842511314555,-2.6432045131645414,2.2107487873798557,2.2406178386067683
29.200000000000003,1.662690776790979,-2.6422581818277617,2.2102233666724294,2.2407901889650077
29.3,1.6625385627510696,-2.6412985275966174,2.209696919601453,2.2409652464980403
29.4,1.66238895257233,-2.6403355396861867,2.2091694533062687,2.2411430309713203
29.5,1.6622372158557406,-2.639352332851616,2.2086409749369262,2.2413235622168712
29.6,1.6620800592675329,-2.6383638978979627,2.2081114916386473,2.24150686014249
29.7,1.6619309221345702,-2.6373679364721525,2.2075810106948914,2.241692944693159
29.799999999999997,1.6617805344635819,-2.6363704978677145,2.2070495394426457,2.2418818358933073
29.900000000000002,1.661640842480603,-2.635367269299713,2.206517085248681,2.2420735538360064
30.0,1.6615045409854865,-2.6343715239863985,2.2059836555433514,2.242268118701823
30.1,1.6613563769414483,-2.6333751982129687,2.2054492578107845,2.242465550727455
30.2,1.6612113778241664,-2.632373071460132,2.2049138996386235,2.2426658701639806
30.3,1.661058062715931,-2.6313759496272455,2.2043775885606673,2.242869097348572
30.400000000000002,1.6609059832068689,-2.6303689109879134,2.2038403320981463,2.2430752526576865
30.5,1.6607620706900943,-2.6293599142491035,2.203302137940065,2.2432843564934912
30.6,1.66061556278052,-2.628352994238377,2.2027630138411856,2.243496429322438
30.700000000000003,1.6604742299869113,-2.627353591355837,2.202222967481014,2.243711491669106
30.799999999999997,1.6603348903373876,-2.6263520783756396,2.2016820064624847,2.2439295641356742
30.900000000000002,1.660192531836057,-2.625358851258282,2.201140138438165,2.244150667375732
31.000000000000004,1.660046505462773,-2.6243683935863085,2.2005973710955935,2.244374822062509
31.099999999999998,1.6599032205573614,-2.623367994063466,2.2000537121107926,2.244602048891178
31.200000000000003,1.659778234451751,-2.6223651744800236,2.1995091692793505,2.2448323685768217
31.299999999999997,1.6596640397918097,-2.6213664908990575,2.198963750455213,2.2450658018996803
31.4,1.659553253352872,-2.6203647914115593,2.198417463478594,2.2453023696975856
31.5,1.659442901700616,-2.6193567699881206,2.197870316281139,2.2455420928258816
31.599999999999998,1.659338932413097,-2.6183516848786956,2.197322316857999,2.2457849921587063
31.7,1.6592488507167729,-2.617338652293369,2.1967734732711426,2.246031088592269
31.8,1.6591659124767164,-2.6163206803391237,2.196223793514752,2.246280403107032
31.9,1.6590870761646874,-2.6152944240095173,2.1956732854391854,2.2465329567672265
32.0,1.6590155712766181,-2.6142651367315333,2.195121956965782,2.246788770650208
32.1,1.6589454211526886,-2.6132236192550713,2.1945698160227556,2.2470478658824176
32.199999999999996,1.6588776351433887,-2.612162422824796,2.1940168705350183,2.2473102636730946
32.3,1.6587957366485784,-2.6110977695833326,2.1934631286796633,2.2475759852538033
32.400000000000006,1.6587177428932807,-2.6100271362735183,2.1929085988258796,2.2478450518398434
32.5,1.658646764209108,-2.608946159206998,2.192353289274941,2.248117484760142
32.6,1.6585809968166,-2.607858261348424,2.1917972082393544,2.2483933054963323
32.7,1.6585029100783861,-2.6067581393097567,2.191240364075886,2.248672535572818
32.8,1.6584146553366437,-2.6056437907032906,2.1906827653134786,2.248955196480018
32.9,1.6583274425526864,-2.60451933727464,2.1901244204504238,2.249241309751792
33.0,1.6582292850688962,-2.6033910311171637,2.1895653380103948,2.249530896985773
33.1,1.6581227782565746,-2.6022707545785075,2.189005526575099,2.249823979775781
33.2,1.6580203350696885,-2.6011410679683755,2.1884449946748603,2.2501205797377866
33.300000000000004,1.6579264454510838,-2.600007178680586,2.187883750862177,2.250420718548653
33.4,1.6578444318166494,-2.5988772921729355,2.187321803777554,2.2507244179249057
33.5,1.657765683122911,-2.597738789314542,2.1867591620621916,2.251031699640618
33.6,1.6576794384026747,-2.596601072196417,2.1861958343627603,2.2513425854992
33.699999999999996,1.6575893569947946,-2.595452072532366,2.1856318294129604,2.2516570972484584
33.800000000000004,1.6575094265253174,-2.5943032617538058,2.1850671558852555,2.2519752566568267
33.9,1.6574376183629602,-2.5931529753562104,2.184501822314968,2.2522970855908375
